R_value,Energy
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.2737,-15.30101853
0.269,-15.30563978
0.2613,-15.29881231
0.2577,-15.30546176
0.2577,-15.30546176
0.2472,-15.29299764
0.2472,-15.29299764
0.2414,-15.31742881
0.2414,-15.31742881
0.2414,-15.31742881
0.2414,-15.31742881
0.2414,-15.31742881
0.2138,-15.31267966
0.2138,-15.31267966
0.2138,-15.31267966
0.2138,-15.31267966
0.2138,-15.31267966
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.2065,-15.32002942
0.1998,-15.33063594
0.1998,-15.33063594
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1814,-15.34094266
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
0.1528,-15.3305419
