Iteration,Current_Best_y,Energy
0,0.2737,-15.30101853
1,0.2737,-15.30101853
2,0.2737,-15.30101853
3,0.2737,-15.30101853
4,0.2737,-15.30101853
5,0.2737,-15.30101853
6,0.2737,-15.30101853
7,0.2737,-15.30101853
8,0.2737,-15.30101853
9,0.2737,-15.30101853
10,0.2737,-15.30101853
11,0.2737,-15.30101853
12,0.2737,-15.30101853
13,0.2737,-15.30101853
14,0.2737,-15.30101853
15,0.2737,-15.30101853
16,0.2737,-15.30101853
17,0.2737,-15.30101853
18,0.2737,-15.30101853
19,0.2737,-15.30101853
20,0.2737,-15.30101853
21,0.2737,-15.30101853
22,0.2737,-15.30101853
23,0.2737,-15.30101853
24,0.2737,-15.30101853
25,0.2737,-15.30101853
26,0.2737,-15.30101853
27,0.2737,-15.30101853
28,0.2737,-15.30101853
29,0.2737,-15.30101853
30,0.2737,-15.30101853
31,0.2737,-15.30101853
32,0.2737,-15.30101853
33,0.2737,-15.30101853
34,0.2737,-15.30101853
35,0.2737,-15.30101853
36,0.2737,-15.30101853
37,0.2737,-15.30101853
38,0.2737,-15.30101853
39,0.2737,-15.30101853
40,0.2737,-15.30101853
41,0.2737,-15.30101853
42,0.2737,-15.30101853
43,0.2737,-15.30101853
44,0.2737,-15.30101853
45,0.2737,-15.30101853
46,0.2737,-15.30101853
47,0.2737,-15.30101853
48,0.2737,-15.30101853
49,0.2737,-15.30101853
50,0.2737,-15.30101853
51,0.2737,-15.30101853
52,0.2737,-15.30101853
53,0.2737,-15.30101853
54,0.2737,-15.30101853
55,0.2737,-15.30101853
56,0.2737,-15.30101853
57,0.2737,-15.30101853
58,0.2737,-15.30101853
59,0.2737,-15.30101853
60,0.2737,-15.30101853
61,0.2737,-15.30101853
62,0.2737,-15.30101853
63,0.2737,-15.30101853
64,0.2737,-15.30101853
65,0.2737,-15.30101853
66,0.2737,-15.30101853
67,0.2737,-15.30101853
68,0.2737,-15.30101853
69,0.2737,-15.30101853
70,0.2737,-15.30101853
71,0.2737,-15.30101853
72,0.2737,-15.30101853
73,0.2737,-15.30101853
74,0.2737,-15.30101853
75,0.2737,-15.30101853
76,0.2737,-15.30101853
77,0.2737,-15.30101853
78,0.2737,-15.30101853
79,0.2737,-15.30101853
80,0.2737,-15.30101853
81,0.2737,-15.30101853
82,0.269,-15.30563978
83,0.2614,-15.29881231
84,0.2577,-15.30546176
85,0.2577,-15.30546176
86,0.247,-15.29299764
87,0.247,-15.29299764
88,0.2414,-15.31742881
89,0.2414,-15.31742881
90,0.2414,-15.31742881
91,0.2414,-15.31742881
92,0.2414,-15.31742881
93,0.2136,-15.31267966
94,0.2136,-15.31267966
95,0.2136,-15.31267966
96,0.2136,-15.31267966
97,0.2136,-15.31267966
98,0.2065,-15.32002942
99,0.2065,-15.32002942
100,0.2065,-15.32002942
101,0.2065,-15.32002942
102,0.2065,-15.32002942
103,0.2065,-15.32002942
104,0.2065,-15.32002942
105,0.2065,-15.32002942
106,0.2065,-15.32002942
107,0.2065,-15.32002942
108,0.2065,-15.32002942
109,0.2065,-15.32002942
110,0.2065,-15.32002942
111,0.2065,-15.32002942
112,0.2065,-15.32002942
113,0.2065,-15.32002942
114,0.1998,-15.33063594
115,0.1998,-15.33063594
116,0.1814,-15.34094266
117,0.1814,-15.34094266
118,0.1814,-15.34094266
119,0.1814,-15.34094266
120,0.1814,-15.34094266
121,0.1814,-15.34094266
122,0.1814,-15.34094266
123,0.1814,-15.34094266
124,0.1814,-15.34094266
125,0.1814,-15.34094266
126,0.1814,-15.34094266
127,0.1814,-15.34094266
128,0.1814,-15.34094266
129,0.1814,-15.34094266
130,0.1814,-15.34094266
131,0.1814,-15.34094266
132,0.1814,-15.34094266
133,0.1814,-15.34094266
134,0.1814,-15.34094266
135,0.1814,-15.34094266
136,0.1814,-15.34094266
137,0.1814,-15.34094266
138,0.1814,-15.34094266
139,0.1814,-15.34094266
140,0.1814,-15.34094266
141,0.1814,-15.34094266
142,0.1814,-15.34094266
143,0.1814,-15.34094266
144,0.1814,-15.34094266
145,0.1814,-15.34094266
146,0.1527,-15.3305419
147,0.1527,-15.3305419
148,0.1527,-15.3305419
149,0.1527,-15.3305419
150,0.1527,-15.3305419
151,0.1527,-15.3305419
152,0.1527,-15.3305419
153,0.1527,-15.3305419
154,0.1527,-15.3305419
155,0.1527,-15.3305419
156,0.1527,-15.3305419
157,0.1527,-15.3305419
158,0.1527,-15.3305419
159,0.1527,-15.3305419
160,0.1527,-15.3305419
161,0.1527,-15.3305419
162,0.1527,-15.3305419
163,0.1527,-15.3305419
164,0.1527,-15.3305419
165,0.1527,-15.3305419
166,0.1527,-15.3305419
167,0.1527,-15.3305419
168,0.1527,-15.3305419
169,0.1527,-15.3305419
170,0.1527,-15.3305419
171,0.1527,-15.3305419
172,0.1527,-15.3305419
173,0.1527,-15.3305419
174,0.1527,-15.3305419
175,0.1527,-15.3305419
176,0.1527,-15.3305419
177,0.1527,-15.3305419
178,0.1527,-15.3305419
179,0.1501,-15.33143299
180,0.1468,-15.33154575
181,0.1468,-15.33154575
182,0.1468,-15.33154575
183,0.1468,-15.33154575
184,0.1443,-15.33483099
185,0.1443,-15.33483099
186,0.1443,-15.33483099
187,0.1443,-15.33483099
188,0.1443,-15.33483099
189,0.1443,-15.33483099
190,0.1443,-15.33483099
191,0.1443,-15.33483099
192,0.1443,-15.33483099
193,0.1443,-15.33483099
194,0.1402,-15.33933226
195,0.1402,-15.33933226
196,0.1402,-15.33933226
197,0.1402,-15.33933226
198,0.14,-15.33775914
199,0.14,-15.33775914
200,0.14,-15.33775914
201,0.14,-15.33775914
202,0.14,-15.33775914
203,0.14,-15.33775914
204,0.14,-15.33775914
205,0.14,-15.33775914
206,0.14,-15.33775914
207,0.14,-15.33775914
208,0.14,-15.33775914
209,0.14,-15.33775914
210,0.1312,-15.33946693
211,0.1312,-15.33946693
212,0.1312,-15.33946693
213,0.1312,-15.33946693
214,0.1312,-15.33946693
215,0.1312,-15.33946693
216,0.1312,-15.33946693
217,0.1312,-15.33946693
218,0.1312,-15.33946693
219,0.1312,-15.33946693
220,0.1312,-15.33946693
221,0.1312,-15.33946693
222,0.1312,-15.33946693
223,0.1312,-15.33946693
224,0.1312,-15.33946693
225,0.1312,-15.33946693
226,0.1312,-15.33946693
227,0.1312,-15.33946693
228,0.1312,-15.33946693
229,0.1312,-15.33946693
230,0.1312,-15.33946693
231,0.1312,-15.33946693
232,0.1312,-15.33946693
233,0.1312,-15.33946693
234,0.1312,-15.33946693
235,0.1312,-15.33946693
236,0.1312,-15.33946693
237,0.1312,-15.33946693
238,0.1312,-15.33946693
239,0.1312,-15.33946693
240,0.1312,-15.33946693
241,0.1312,-15.33946693
242,0.1304,-15.33984077
243,0.1296,-15.33957585
244,0.1296,-15.33957585
245,0.1296,-15.33957585
246,0.1283,-15.33897072
247,0.1283,-15.33897072
248,0.1283,-15.33897072
249,0.1283,-15.33897072
250,0.1283,-15.33897072
251,0.1283,-15.33897072
252,0.1283,-15.33897072
253,0.1283,-15.33897072
254,0.1283,-15.33897072
255,0.1283,-15.33897072
256,0.1283,-15.33897072
257,0.1283,-15.33897072
258,0.1283,-15.33897072
259,0.1283,-15.33897072
260,0.1283,-15.33897072
261,0.1283,-15.33897072
262,0.1283,-15.33897072
263,0.1221,-15.34427388
264,0.1221,-15.34427388
265,0.1221,-15.34427388
266,0.1221,-15.34427388
267,0.1221,-15.34427388
268,0.1221,-15.34427388
269,0.1221,-15.34427388
270,0.1221,-15.34427388
271,0.1221,-15.34427388
272,0.1221,-15.34427388
273,0.1221,-15.34427388
274,0.1221,-15.34427388
275,0.1221,-15.34427388
276,0.1221,-15.34427388
277,0.1221,-15.34427388
278,0.1221,-15.34427388
279,0.1216,-15.34693703
280,0.1216,-15.34693703
281,0.1216,-15.34693703
282,0.1216,-15.34693703
283,0.1216,-15.34693703
284,0.1216,-15.34693703
285,0.1216,-15.34693703
286,0.1216,-15.34693703
287,0.1216,-15.34693703
288,0.1216,-15.34693703
289,0.1216,-15.34693703
290,0.1216,-15.34693703
291,0.1216,-15.34693703
292,0.1216,-15.34693703
293,0.1203,-15.346293
294,0.1203,-15.346293
295,0.1203,-15.346293
296,0.1203,-15.346293
297,0.1203,-15.346293
298,0.1203,-15.346293
299,0.1203,-15.346293
300,0.1203,-15.346293
301,0.1203,-15.346293
302,0.1203,-15.346293
303,0.1203,-15.346293
304,0.1203,-15.346293
305,0.1203,-15.346293
306,0.1203,-15.346293
307,0.1203,-15.346293
308,0.1203,-15.346293
309,0.1203,-15.346293
310,0.1203,-15.346293
311,0.1203,-15.346293
312,0.1203,-15.346293
313,0.1203,-15.346293
314,0.1203,-15.346293
315,0.1203,-15.346293
316,0.1203,-15.346293
317,0.1203,-15.346293
318,0.1203,-15.346293
319,0.1203,-15.346293
320,0.1203,-15.346293
321,0.1203,-15.346293
322,0.1203,-15.346293
323,0.1203,-15.346293
324,0.1203,-15.346293
325,0.1203,-15.346293
326,0.1203,-15.346293
327,0.1203,-15.346293
328,0.1203,-15.346293
329,0.1203,-15.346293
330,0.1203,-15.346293
331,0.1203,-15.346293
332,0.1203,-15.346293
333,0.1203,-15.346293
334,0.1203,-15.346293
335,0.1203,-15.346293
336,0.1203,-15.346293
337,0.1203,-15.346293
338,0.1203,-15.346293
339,0.1203,-15.346293
340,0.1203,-15.346293
341,0.1203,-15.346293
342,0.1203,-15.346293
343,0.1203,-15.346293
344,0.1203,-15.346293
345,0.1203,-15.346293
346,0.1203,-15.346293
347,0.1203,-15.346293
348,0.1203,-15.346293
349,0.1203,-15.346293
350,0.1203,-15.346293
351,0.1203,-15.346293
352,0.1203,-15.346293
353,0.1203,-15.346293
354,0.1203,-15.346293
355,0.1203,-15.346293
356,0.1152,-15.34111734
357,0.1152,-15.34111734
358,0.1152,-15.34111734
359,0.1152,-15.34111734
360,0.1152,-15.34111734
361,0.1152,-15.34111734
362,0.1152,-15.34111734
363,0.1152,-15.34111734
364,0.1152,-15.34111734
365,0.1152,-15.34111734
366,0.1152,-15.34111734
367,0.1152,-15.34111734
368,0.1152,-15.34111734
369,0.1152,-15.34111734
370,0.1152,-15.34111734
371,0.1152,-15.34111734
372,0.1135,-15.33956789
373,0.1135,-15.33956789
374,0.1135,-15.33956789
375,0.1113,-15.33820759
376,0.1113,-15.33820759
377,0.1113,-15.33820759
378,0.1113,-15.33820759
379,0.1113,-15.33820759
380,0.1113,-15.33820759
381,0.1113,-15.33820759
382,0.1113,-15.33820759
383,0.1113,-15.33820759
384,0.1113,-15.33820759
385,0.1113,-15.33820759
386,0.1113,-15.33820759
387,0.1113,-15.33820759
388,0.1113,-15.33820759
389,0.1113,-15.33820759
390,0.1113,-15.33820759
391,0.1113,-15.33820759
392,0.1113,-15.33820759
393,0.1113,-15.33820759
394,0.1113,-15.33820759
395,0.1113,-15.33820759
396,0.1113,-15.33820759
397,0.1113,-15.33820759
398,0.1113,-15.33820759
399,0.1113,-15.33820759
400,0.1113,-15.33820759
401,0.1113,-15.33820759
402,0.1113,-15.33820759
403,0.1031,-15.33856003
404,0.1031,-15.33856003
405,0.1031,-15.33856003
406,0.1031,-15.33856003
407,0.1031,-15.33856003
408,0.1031,-15.33856003
409,0.1031,-15.33856003
410,0.1031,-15.33856003
411,0.1031,-15.33856003
412,0.1031,-15.33856003
413,0.1031,-15.33856003
414,0.1031,-15.33856003
415,0.1031,-15.33856003
416,0.1031,-15.33856003
417,0.1031,-15.33856003
418,0.1031,-15.33856003
419,0.1026,-15.33856003
420,0.1026,-15.33856003
421,0.1026,-15.33856003
422,0.1019,-15.33896382
423,0.1019,-15.33896382
424,0.1019,-15.33896382
425,0.1019,-15.33896382
426,0.1019,-15.33896382
427,0.1019,-15.33896382
428,0.1019,-15.33896382
429,0.1019,-15.33896382
430,0.1019,-15.33896382
431,0.1019,-15.33896382
432,0.1019,-15.33896382
433,0.1019,-15.33896382
434,0.1019,-15.33896382
435,0.1019,-15.33896382
436,0.0991,-15.33969661
437,0.0991,-15.33969661
438,0.0991,-15.33969661
439,0.0991,-15.33969661
440,0.0991,-15.33969661
441,0.0991,-15.33969661
442,0.0991,-15.33969661
443,0.0991,-15.33969661
444,0.0991,-15.33969661
445,0.0991,-15.33969661
446,0.0991,-15.33969661
447,0.0991,-15.33969661
448,0.0991,-15.33969661
449,0.0991,-15.33969661
450,0.0991,-15.33969661
451,0.0991,-15.33969661
452,0.0991,-15.33969661
453,0.0991,-15.33969661
454,0.0991,-15.33969661
455,0.0991,-15.33969661
456,0.0991,-15.33969661
457,0.0991,-15.33969661
458,0.0991,-15.33969661
459,0.0991,-15.33969661
460,0.0969,-15.34051025
461,0.0969,-15.34051025
462,0.0969,-15.34051025
463,0.0969,-15.34051025
464,0.0969,-15.34051025
465,0.0969,-15.34051025
466,0.0969,-15.34051025
467,0.0969,-15.34051025
468,0.0969,-15.34051025
469,0.0969,-15.34051025
470,0.0969,-15.34051025
471,0.0969,-15.34051025
472,0.0969,-15.34051025
473,0.0969,-15.34051025
474,0.0969,-15.34051025
475,0.0969,-15.3437588
476,0.0969,-15.3437588
477,0.0969,-15.3437588
478,0.0969,-15.3437588
479,0.0969,-15.3437588
480,0.0969,-15.3437588
481,0.0969,-15.3437588
482,0.0969,-15.3437588
483,0.0963,-15.34389776
484,0.0963,-15.34389776
485,0.0963,-15.34389776
486,0.0963,-15.34389776
487,0.0963,-15.34389776
488,0.0963,-15.34389776
489,0.0963,-15.34389776
490,0.0956,-15.34383165
491,0.0956,-15.34383165
492,0.0956,-15.34383165
493,0.0956,-15.34383165
494,0.0956,-15.34383165
495,0.0956,-15.34383165
496,0.0956,-15.34383165
497,0.0956,-15.34383165
498,0.0956,-15.34383165
499,0.0956,-15.34383165
500,0.0956,-15.34383165
501,0.0956,-15.34383165
502,0.0956,-15.34383165
503,0.0956,-15.34383165
504,0.0956,-15.34383165
505,0.0956,-15.34383165
506,0.0956,-15.34383165
507,0.0956,-15.34383165
508,0.0956,-15.34383165
509,0.0956,-15.34383165
510,0.0956,-15.34383165
511,0.0956,-15.34383165
