sample_index,current_best_R,current_R
1,0.2737,0.2737
2,0.2737,0.8828
3,0.2737,0.2939
4,0.2737,0.4706
5,0.2737,0.7021
6,0.2407,0.2407
7,0.2407,0.2829
8,0.2407,0.9621
9,0.2407,0.6667
10,0.2407,0.2973
11,0.2407,0.345
12,0.2407,0.4022
13,0.2407,0.3848
14,0.2407,0.3483
15,0.2407,0.5005
16,0.2407,0.9839
17,0.2407,0.7461
18,0.2407,0.3974
19,0.2407,0.685
20,0.2407,0.4194
21,0.2407,0.3823
22,0.2407,0.3789
23,0.2407,0.2974
24,0.2407,0.3241
25,0.2407,0.6727
26,0.2407,0.5211
27,0.2407,0.3971
28,0.2407,0.5811
29,0.2407,0.509
30,0.2407,0.3366
31,0.2407,0.4237
32,0.2407,0.5498
33,0.2407,0.7334
34,0.2407,0.6668
35,0.2407,0.2776
36,0.2407,0.3052
37,0.2407,0.7146
38,0.2407,0.6088
39,0.2407,0.2524
40,0.2407,0.8937
41,0.2407,0.8111
42,0.2407,0.3451
43,0.2407,0.8657
44,0.2407,0.4447
45,0.2407,0.5107
46,0.2407,0.4209
47,0.2407,0.2933
48,0.2407,0.8945
49,0.2407,0.4344
50,0.2407,0.6284
51,0.2407,0.2725
52,0.2407,0.2912
53,0.2407,0.5744
54,0.2407,0.5787
55,0.2407,0.243
56,0.2407,1000.0
57,0.2407,0.3356
58,0.2407,0.4334
59,0.2407,0.6613
60,0.2407,0.7591
61,0.2407,0.2754
62,0.2407,0.334
63,0.2407,1000.0
64,0.2407,0.254
65,0.2407,0.5288
66,0.2407,0.7036
67,0.2407,0.8012
68,0.2407,0.5835
69,0.2407,0.8333
70,0.2407,0.6546
71,0.2407,0.394
72,0.2407,0.4576
73,0.2407,0.6592
74,0.2407,0.3312
75,0.2407,0.454
76,0.2407,0.2579
77,0.2407,0.8491
78,0.2407,0.2578
79,0.2407,0.2628
80,0.2407,0.9361
81,0.2407,0.2985
82,0.2407,0.6649
83,0.2407,0.2849
84,0.2407,0.6906
85,0.2407,0.3623
86,0.2407,0.3717
87,0.2407,0.3232
88,0.2406,0.2406
89,0.2406,0.4462
90,0.2406,0.6877
91,0.2406,0.3643
92,0.2406,0.2413
93,0.2406,0.5248
94,0.2406,0.4551
95,0.2406,0.335
96,0.2406,0.2808
97,0.2406,0.2849
98,0.2043,0.2043
99,0.2043,0.3296
100,0.2043,0.8539
101,0.2043,0.6698
102,0.2043,0.2598
103,0.2043,0.4837
