sample_index,current_best_R,current_R
1,0.2737,0.2737
2,0.2737,0.2767
3,0.2737,0.3865
4,0.2737,0.359
5,0.2737,0.4609
6,0.2737,0.3959
7,0.2737,0.5806
8,0.2737,0.4882
9,0.2737,0.3981
10,0.2737,0.3367
11,0.2626,0.2626
12,0.2626,0.508
13,0.2626,0.3282
14,0.2626,0.5213
15,0.2626,0.4847
16,0.2626,0.4158
17,0.2626,0.413
18,0.2626,0.4677
19,0.2626,0.3549
20,0.2626,0.404
21,0.2626,0.3909
22,0.2626,0.5667
23,0.2626,0.4215
24,0.2626,0.3595
25,0.2626,1000.0
26,0.2626,0.9416
27,0.2626,0.8784
28,0.2626,1000.0
29,0.2626,1000.0
30,0.2626,1000.0
31,0.2626,1.0426
32,0.2626,1000.0
33,0.2626,0.9392
34,0.2626,0.7488
35,0.2626,0.968
36,0.2626,1000.0
37,0.2626,1000.0
38,0.2626,1.1085
39,0.2626,0.735
40,0.2626,0.8144
41,0.2626,0.4193
42,0.2626,0.2798
43,0.2626,0.5144
44,0.2626,0.4263
45,0.2626,1000.0
46,0.2626,0.5015
47,0.2626,0.3129
48,0.2626,0.3648
49,0.2626,0.5044
50,0.2626,0.4322
51,0.2626,0.3404
52,0.2626,0.3775
53,0.2626,0.2828
54,0.2626,0.4584
55,0.2626,0.3653
56,0.2626,0.273
57,0.2626,0.4871
58,0.2626,0.4921
59,0.2626,0.3007
60,0.2626,0.6606
61,0.2626,0.3512
62,0.2626,0.5233
63,0.2626,0.2833
64,0.2626,0.3347
65,0.2626,0.4624
66,0.2626,0.5396
67,0.2626,0.6468
68,0.2626,0.4962
69,0.2626,0.3703
70,0.2626,0.4331
71,0.2626,0.5302
72,0.2626,0.4953
73,0.2626,0.4542
74,0.2626,0.3177
75,0.2626,0.41
76,0.2626,0.6134
77,0.2517,0.2517
78,0.2517,0.4569
79,0.2517,0.4895
80,0.2517,0.3101
81,0.2517,0.5496
82,0.2517,0.3262
83,0.2517,0.4413
84,0.2517,0.3599
85,0.2517,0.364
86,0.2517,0.3753
87,0.2517,0.2806
88,0.2517,0.2753
89,0.2517,0.5576
90,0.2517,0.3073
91,0.2517,0.4283
92,0.2517,0.4103
93,0.2517,0.4884
94,0.2517,0.5089
95,0.2517,0.4021
96,0.2517,0.3643
97,0.2495,0.2495
98,0.2495,0.3172
99,0.2495,0.3224
100,0.2495,0.3421
101,0.239,0.239
102,0.239,0.306
103,0.239,0.491
104,0.239,0.5947
105,0.239,0.3677
106,0.239,0.2951
107,0.239,0.9767
108,0.239,0.3772
109,0.239,0.3414
110,0.239,0.5014
