sample_index,current_best_R,current_R
1,0.2737,0.2737
2,0.2737,0.6196
3,0.2737,0.9817
4,0.2737,0.7916
5,0.2737,1.0121
6,0.2737,0.5559
7,0.2737,0.7411
8,0.2737,0.6179
9,0.2737,0.8981
10,0.2737,0.8869
11,0.2737,0.5125
12,0.2737,0.313
13,0.2737,0.4794
14,0.2737,0.6622
15,0.2737,1.0719
16,0.2737,0.864
17,0.2737,1000.0
18,0.2737,0.3422
19,0.2737,0.8248
20,0.2737,0.7244
21,0.2737,1000.0
22,0.2737,0.6303
23,0.2737,0.7006
24,0.2737,0.9176
25,0.2737,0.642
26,0.2737,0.8388
27,0.2737,0.7312
28,0.2737,0.9655
29,0.2737,0.9392
30,0.2737,0.7716
31,0.2737,1000.0
32,0.2737,0.6155
33,0.2737,0.9456
34,0.2737,0.8691
35,0.2737,0.3659
36,0.2737,0.766
37,0.2737,0.3975
38,0.2737,0.4304
39,0.2737,0.3473
40,0.2737,1.1298
41,0.2737,1000.0
42,0.2737,0.6531
43,0.2737,0.9042
44,0.2737,0.7148
45,0.2737,0.9575
46,0.2737,0.8462
47,0.2737,0.845
48,0.2737,0.7387
49,0.2737,0.9457
50,0.2737,0.7126
51,0.2737,0.6388
52,0.2737,1.0193
53,0.2737,0.8181
54,0.2737,0.5016
55,0.2737,0.3552
56,0.2737,0.7348
57,0.2737,1000.0
58,0.2737,0.8138
59,0.2737,0.7206
60,0.2737,0.5875
61,0.2737,0.9397
62,0.2737,0.6035
63,0.2737,0.9423
64,0.2737,1000.0
65,0.2737,1000.0
66,0.2737,0.7134
67,0.2737,0.3419
68,0.2737,0.4885
69,0.2737,1000.0
70,0.2737,0.6006
71,0.2737,0.9605
72,0.2737,0.8036
73,0.2737,1.003
74,0.2737,1000.0
75,0.2737,0.612
76,0.2737,0.4773
77,0.2737,1.0414
78,0.2737,1000.0
79,0.2737,0.6711
80,0.2737,0.9028
81,0.2737,0.6302
82,0.2737,0.8939
83,0.2737,0.6439
84,0.2737,1000.0
85,0.2737,0.6438
86,0.2737,0.6894
87,0.2737,1000.0
88,0.2737,0.8504
89,0.2737,0.6378
90,0.2737,0.607
91,0.2737,0.7393
92,0.2737,0.5495
93,0.2737,1000.0
94,0.2737,0.87
95,0.2737,0.8881
96,0.2737,1000.0
97,0.2737,0.8716
98,0.2737,0.7516
99,0.2737,0.9349
100,0.2737,0.5319
101,0.2737,0.8423
102,0.2737,0.6925
103,0.2737,0.7328
104,0.2737,0.3509
105,0.2737,0.8998
106,0.2737,1.0429
107,0.2737,0.6742
108,0.2737,0.4828
109,0.2737,0.9506
110,0.2737,0.5296
111,0.2737,0.9855
112,0.2737,1.0978
113,0.2737,0.7986
114,0.2737,1000.0
115,0.2737,1.1858
116,0.2737,0.4157
117,0.2737,0.53
118,0.2737,1000.0
119,0.2737,1.09
120,0.2737,0.3605
121,0.2737,0.893
122,0.2737,0.9425
123,0.2737,0.838
124,0.2737,0.3398
125,0.2737,0.8039
126,0.2737,0.6809
127,0.2737,0.8632
128,0.2737,1.0872
129,0.2737,0.9134
130,0.2737,0.6531
131,0.2737,1000.0
132,0.2737,0.9079
133,0.2737,0.9805
134,0.2737,0.511
135,0.2737,0.6975
136,0.2737,0.5964
137,0.2737,0.4255
138,0.2737,0.6005
139,0.2737,1000.0
140,0.2737,0.8587
141,0.2737,0.7787
142,0.2737,0.7325
143,0.2737,0.9903
144,0.2737,0.366
145,0.2737,0.5127
146,0.2737,0.2885
147,0.2737,0.3863
148,0.2737,0.746
149,0.2737,0.9748
150,0.2737,0.7322
151,0.2737,0.394
152,0.2737,0.4545
153,0.2737,0.5663
154,0.2737,0.6957
155,0.2737,0.7246
156,0.2737,0.3414
157,0.2737,0.9253
158,0.2737,0.9293
159,0.2737,0.6647
160,0.2737,0.9698
161,0.2737,0.5685
162,0.2737,0.5925
