Iteration,Current_Best_R,u_surf
0,0.2737,0.07811
1,0.2737,0.07811
2,0.2737,0.07811
3,0.2737,0.07811
4,0.2737,0.07811
5,0.2737,0.07811
6,0.2737,0.07811
7,0.2737,0.07811
8,0.2737,0.07811
9,0.2737,0.07811
10,0.2737,0.07811
11,0.2737,0.07811
12,0.2737,0.07811
13,0.2737,0.07811
14,0.2737,0.07811
15,0.2737,0.07811
16,0.2737,0.07811
17,0.2737,0.07811
18,0.2737,0.07811
19,0.2737,0.07811
20,0.2737,0.07811
21,0.2737,0.07811
22,0.2737,0.07811
23,0.2737,0.07811
24,0.2737,0.07811
25,0.2737,0.07811
26,0.2737,0.07811
27,0.2737,0.07811
28,0.2737,0.07811
29,0.2737,0.07811
30,0.2737,0.07811
31,0.2737,0.07811
32,0.2737,0.07811
33,0.2737,0.07811
34,0.2737,0.07811
35,0.2737,0.07811
36,0.2737,0.07811
37,0.2737,0.07811
38,0.2737,0.07811
39,0.2737,0.07811
40,0.2737,0.07811
41,0.2737,0.07811
42,0.2737,0.07811
43,0.2737,0.07811
44,0.2737,0.07811
45,0.2737,0.07811
46,0.2737,0.07811
47,0.2737,0.07811
48,0.2737,0.07811
49,0.2737,0.07811
50,0.2737,0.07811
51,0.2737,0.07811
52,0.2737,0.07811
53,0.2737,0.07811
54,0.2737,0.07811
55,0.2737,0.07811
56,0.2737,0.07811
57,0.2737,0.07811
58,0.2737,0.07811
59,0.2737,0.07811
60,0.2737,0.07811
61,0.2737,0.07811
62,0.2737,0.07811
63,0.2737,0.07811
64,0.2737,0.07811
65,0.2737,0.07811
66,0.2737,0.07811
67,0.2737,0.07811
68,0.2737,0.07811
69,0.2737,0.07811
70,0.2737,0.07811
71,0.2737,0.07811
72,0.2737,0.07811
73,0.2737,0.07811
74,0.2737,0.07811
75,0.2737,0.07811
76,0.2737,0.07811
77,0.2737,0.07811
78,0.2737,0.07811
79,0.2737,0.07811
80,0.2737,0.07811
81,0.2737,0.07811
82,0.269,0.081612
83,0.2614,0.075721
84,0.2577,0.077357
85,0.2577,0.077357
86,0.247,0.081716
87,0.247,0.081716
88,0.2414,0.081716
89,0.2414,0.081716
90,0.2414,0.081716
91,0.2414,0.081716
92,0.2414,0.081716
93,0.2136,0.073906
94,0.2136,0.073906
95,0.2136,0.073906
96,0.2136,0.073906
97,0.2136,0.073906
98,0.2065,0.077472
99,0.2065,0.077472
100,0.2065,0.077472
101,0.2065,0.077472
