Iteration,Current_Best_R,theta,Energy
0,0.7933,1.203431,-255.80808
1,0.4049,0.822321,-263.73921
2,0.4049,0.822321,-263.73921
3,0.4049,0.822321,-263.73921
4,0.4049,0.822321,-263.73921
5,0.4049,0.822321,-263.73921
6,0.4049,0.822321,-263.73921
7,0.4049,0.822321,-263.73921
8,0.4049,0.822321,-263.73921
9,0.4049,0.822321,-263.73921
10,0.4049,0.822321,-263.73921
11,0.4049,0.822321,-263.73921
12,0.4049,0.822321,-263.73921
13,0.4049,0.822321,-263.73921
14,0.4049,0.822321,-263.73921
15,0.4009,0.822321,-265.28179
16,0.3924,0.822321,-265.316227
17,0.3924,0.822321,-265.316227
18,0.3924,0.822321,-265.316227
19,0.3924,0.822321,-265.316227
20,0.3924,0.822321,-265.316227
21,0.3904,0.902664,-265.316227
22,0.3904,0.902664,-265.316227
23,0.3904,0.902664,-265.316227
24,0.3904,0.902664,-265.316227
25,0.3904,0.902664,-265.316227
26,0.3904,0.902664,-265.316227
27,0.3904,0.902664,-265.316227
28,0.3904,0.902664,-265.316227
29,0.385,0.822321,-265.196789
30,0.385,0.822321,-265.196789
31,0.3825,0.822321,-265.196789
32,0.3825,0.822321,-265.196789
33,0.3825,0.822321,-265.196789
34,0.3813,0.859189,-265.196789
35,0.3813,0.859189,-265.196789
36,0.3813,0.859189,-265.196789
37,0.3813,0.859189,-265.196789
38,0.3813,0.859189,-265.196789
39,0.3808,0.794146,-265.196789
40,0.3808,0.794146,-265.196789
41,0.3808,0.794146,-265.196789
42,0.3808,0.794146,-265.196789
43,0.3807,0.834185,-265.196789
44,0.3789,0.822321,-264.646703
45,0.3789,0.822321,-264.646703
46,0.3789,0.822321,-264.646703
47,0.3789,0.822321,-264.646703
48,0.3789,0.822321,-264.646703
49,0.3789,0.822321,-264.646703
50,0.3789,0.822321,-264.646703
51,0.3789,0.822321,-264.646703
52,0.3789,0.822321,-264.646703
53,0.3789,0.822321,-264.646703
54,0.3789,0.822321,-264.646703
55,0.3775,0.847939,-264.646703
56,0.3775,0.847939,-264.646703
57,0.3775,0.847939,-264.646703
58,0.3775,0.847939,-264.646703
59,0.3764,0.822321,-264.646703
60,0.3764,0.822321,-264.646703
61,0.3764,0.822321,-264.646703
62,0.3764,0.822321,-264.646703
63,0.3764,0.822321,-264.646703
64,0.3764,0.822321,-264.646703
65,0.3764,0.822321,-264.646703
66,0.3764,0.822321,-264.646703
67,0.3764,0.822321,-264.646703
68,0.3764,0.822321,-264.646703
69,0.3764,0.822321,-264.646703
70,0.3764,0.822321,-264.646703
71,0.3759,0.822321,-265.326563
72,0.3759,0.822321,-265.326563
73,0.3759,0.822321,-265.326563
74,0.3759,0.822321,-265.326563
75,0.3759,0.822321,-265.326563
76,0.3759,0.822321,-265.326563
77,0.3759,0.822321,-265.326563
78,0.3759,0.822321,-265.326563
79,0.3759,0.822321,-265.326563
80,0.3759,0.822321,-265.326563
81,0.3759,0.822321,-265.326563
82,0.3759,0.822321,-265.326563
83,0.3759,0.822321,-265.326563
84,0.3759,0.822321,-265.326563
85,0.3757,0.822321,-265.334903
86,0.3757,0.822321,-265.334903
87,0.3757,0.822321,-265.334903
88,0.3757,0.822321,-265.334903
89,0.3757,0.822321,-265.334903
90,0.3757,0.822321,-265.334903
91,0.3757,0.822321,-265.334903
92,0.3757,0.822321,-265.334903
93,0.3757,0.822321,-265.334903
94,0.3757,0.822321,-265.334903
95,0.3757,0.822321,-265.334903
96,0.3757,0.822321,-265.334903
97,0.3757,0.822321,-265.334903
98,0.3757,0.822321,-265.334903
99,0.3757,0.822321,-265.334903
100,0.3757,0.822321,-265.334903
101,0.3757,0.822321,-265.334903
102,0.3757,0.822321,-265.334903
103,0.3757,0.822321,-265.334903
104,0.3757,0.822321,-265.334903
105,0.3757,0.822321,-265.334903
106,0.3757,0.822321,-265.334903
107,0.3757,0.822321,-265.334903
108,0.3757,0.822321,-265.334903
109,0.3757,0.822321,-265.334903
110,0.3757,0.822321,-265.334903
111,0.3757,0.822321,-265.334903
112,0.3757,0.822321,-265.334903
113,0.3757,0.822321,-265.334903
114,0.3757,0.822321,-265.334903
115,0.3757,0.822321,-265.334903
116,0.3757,0.822321,-265.334903
117,0.3757,0.822321,-265.334903
118,0.3757,0.822321,-265.334903
119,0.3757,0.822321,-265.334903
120,0.3757,0.822321,-265.334903
121,0.3757,0.822321,-265.334903
122,0.3757,0.822321,-265.334903
123,0.3757,0.822321,-265.334903
124,0.3757,0.822321,-265.334903
125,0.3757,0.822321,-265.334903
126,0.3757,0.822321,-265.334903
127,0.3757,0.822321,-265.334903
128,0.3757,0.822321,-265.334903
129,0.3757,0.822321,-265.334903
130,0.3757,0.822321,-265.334903
131,0.3757,0.822321,-265.334903
132,0.3757,0.822321,-265.334903
133,0.3757,0.822321,-265.334903
134,0.3757,0.822321,-265.334903
135,0.3757,0.822321,-265.334903
136,0.3757,0.822321,-265.334903
137,0.3757,0.822321,-265.334903
138,0.3757,0.822321,-265.334903
139,0.3757,0.822321,-265.334903
140,0.3757,0.822321,-265.334903
141,0.3757,0.822321,-265.334903
142,0.3757,0.822321,-265.334903
143,0.3757,0.822321,-265.334903
144,0.3757,0.822321,-265.334903
145,0.3757,0.822321,-265.334903
146,0.3757,0.822321,-265.334903
147,0.3757,0.822321,-265.334903
148,0.3757,0.822321,-265.334903
149,0.3757,0.822321,-265.334903
150,0.3757,0.822321,-265.334903
151,0.3757,0.822321,-265.334903
152,0.3757,0.822321,-265.334903
153,0.3757,0.822321,-265.334903
154,0.3757,0.822321,-265.334903
155,0.3757,0.822321,-265.334903
156,0.3757,0.822321,-265.334903
157,0.3757,0.822321,-265.334903
158,0.3757,0.822321,-265.334903
159,0.3757,0.822321,-265.334903
160,0.3757,0.822321,-265.334903
161,0.3757,0.822321,-265.334903
162,0.3757,0.822321,-265.334903
163,0.3757,0.822321,-265.334903
164,0.3757,0.822321,-265.334903
165,0.3757,0.822321,-265.334903
166,0.3757,0.822321,-265.334903
167,0.3757,0.822321,-265.334903
168,0.3757,0.822321,-265.334903
169,0.3757,0.822321,-265.334903
170,0.3757,0.822321,-265.334903
171,0.3757,0.822321,-265.334903
172,0.3757,0.822321,-265.334903
173,0.3757,0.822321,-265.334903
174,0.3757,0.822321,-265.334903
175,0.3757,0.822321,-265.334903
176,0.3757,0.822321,-265.334903
177,0.3757,0.822321,-265.334903
178,0.3757,0.822321,-265.334903
179,0.3757,0.822321,-265.334903
180,0.3757,0.822321,-265.334903
181,0.3757,0.822321,-265.334903
182,0.3757,0.822321,-265.334903
183,0.3757,0.822321,-265.334903
184,0.3757,0.822321,-265.334903
185,0.3757,0.822321,-265.334903
186,0.3757,0.822321,-265.334903
187,0.3757,0.822321,-265.334903
188,0.3757,0.822321,-265.334903
189,0.3757,0.822321,-265.334903
190,0.3757,0.822321,-265.334903
191,0.3757,0.822321,-265.334903
192,0.3757,0.822321,-265.334903
193,0.3757,0.822321,-265.334903
194,0.3757,0.822321,-265.334903
195,0.3757,0.822321,-265.334903
196,0.3757,0.822321,-265.334903
197,0.3757,0.822321,-265.334903
198,0.3757,0.822321,-265.334903
199,0.3757,0.822321,-265.334903
200,0.3757,0.822321,-265.334903
201,0.3757,0.822321,-265.334903
202,0.3757,0.822321,-265.334903
203,0.3757,0.822321,-265.334903
204,0.3757,0.822321,-265.334903
205,0.3757,0.822321,-265.334903
206,0.3757,0.822321,-265.334903
207,0.3757,0.822321,-265.334903
208,0.3757,0.822321,-265.334903
209,0.3757,0.822321,-265.334903
210,0.3757,0.822321,-265.334903
211,0.3757,0.822321,-265.334903
212,0.3757,0.822321,-265.334903
213,0.3757,0.822321,-265.334903
214,0.3757,0.822321,-265.334903
215,0.3757,0.822321,-265.334903
216,0.3757,0.822321,-265.334903
217,0.3757,0.822321,-265.334903
218,0.3757,0.822321,-265.334903
219,0.3757,0.822321,-265.334903
220,0.3757,0.822321,-265.334903
221,0.3757,0.822321,-265.334903
222,0.3757,0.822321,-265.334903
223,0.3757,0.822321,-265.334903
224,0.3757,0.822321,-265.334903
225,0.3757,0.822321,-265.334903
226,0.3757,0.822321,-265.334903
227,0.3757,0.822321,-265.334903
228,0.3757,0.822321,-265.334903
229,0.3757,0.822321,-265.334903
230,0.3757,0.822321,-265.334903
231,0.3757,0.822321,-265.334903
232,0.3757,0.822321,-265.334903
233,0.3757,0.822321,-265.334903
234,0.3757,0.822321,-265.334903
235,0.3757,0.822321,-265.334903
236,0.3757,0.822321,-265.334903
237,0.3757,0.822321,-265.334903
238,0.3757,0.822321,-265.334903
239,0.3757,0.822321,-265.334903
240,0.3757,0.822321,-265.334903
241,0.3757,0.822321,-265.334903
242,0.3757,0.822321,-265.334903
243,0.3757,0.822321,-265.334903
